week,actual,floor,typical,optimistic,confident,persona
2025-06-08,9999.54,0.0,0.0,0.0,False,new_gig_worker
2025-06-15,879.54,0.0,9999.54,16877.97,False,new_gig_worker
2025-06-22,16877.97,0.0,5439.540000000001,16877.97,False,new_gig_worker
2025-06-29,9119.28,0.0,9252.35,16877.97,False,new_gig_worker
2025-07-06,8630.92,3351.462000000001,9559.41,14814.441000000003,True,new_gig_worker
2025-07-13,7076.61,3980.092,9119.28,14126.598000000002,True,new_gig_worker
2025-01-05,9751.39,0.0,0.0,0.0,False,spiky_freelancer
2025-01-12,11391.54,0.0,9751.39,56403.8,False,spiky_freelancer
2025-01-19,56403.8,0.0,10571.465,56403.8,False,spiky_freelancer
2025-01-26,8472.77,0.0,25848.910000000003,56403.8,False,spiky_freelancer
2025-02-02,6655.07,8856.356,10571.465,42900.12200000001,True,spiky_freelancer
2025-02-09,28759.800000000003,7382.15,9751.39,38398.89600000001,True,spiky_freelancer
2025-02-16,30099.43,7563.92,10571.465,42581.8,True,spiky_freelancer
2025-02-23,0.0,7745.6900000000005,11391.54,40621.178000000014,True,spiky_freelancer
2025-03-02,0.0,4658.549,10571.465,37990.740999999995,True,spiky_freelancer
2025-03-09,0.0,0.0,9932.155,37990.740999999995,True,spiky_freelancer
2025-03-16,12024.97,0.0,7563.92,37990.740999999995,True,spiky_freelancer
2025-03-23,13115.18,0.0,7563.92,29161.689000000002,True,spiky_freelancer
2025-03-30,0.0,0.0,9340.02,29161.689000000002,True,spiky_freelancer
2025-04-06,15171.84,0.0,6012.485,29161.689000000002,True,spiky_freelancer
2025-04-13,0.0,0.0,6012.485,19650.117,True,spiky_freelancer
2025-04-20,0.0,0.0,0.0,13732.178,True,spiky_freelancer
2025-04-27,16915.24,0.0,0.0,13732.178,True,spiky_freelancer
2025-05-04,9555.12,0.0,6012.485,15694.86,True,spiky_freelancer
2025-05-11,6845.39,0.0,10790.045,15694.86,True,spiky_freelancer
2025-05-18,0.0,0.0,8200.255000000001,15694.86,True,spiky_freelancer
2025-05-25,0.0,0.0,3422.695,15694.86,True,spiky_freelancer
2025-06-01,0.0,0.0,3422.695,15694.86,True,spiky_freelancer
2025-06-08,7952.55,0.0,0.0,11763.155999999999,True,spiky_freelancer
2025-06-15,35471.64,0.0,3422.695,11763.155999999999,True,spiky_freelancer
2025-06-22,13657.04,0.0,7398.97,22482.159999999996,True,spiky_freelancer
2025-01-05,3001.52,0.0,0.0,0.0,False,steady_delivery_partner
2025-01-12,9117.0,0.0,3001.52,15440.52,False,steady_delivery_partner
2025-01-19,2153.32,0.0,6059.26,15440.52,False,steady_delivery_partner
2025-01-26,14527.279999999999,0.0,4757.28,15440.52,False,steady_delivery_partner
2025-02-02,5790.71,2407.78,6059.26,12904.196,True,steady_delivery_partner
2025-02-09,4786.88,2492.6000000000004,5790.71,12363.168,True,steady_delivery_partner
2025-02-16,15440.52,2577.42,5288.795,11822.14,True,steady_delivery_partner
2025-02-23,3609.31,2662.2400000000002,5790.71,14892.576,True,steady_delivery_partner
2025-03-02,10002.86,2747.06,5288.795,14801.251999999999,True,steady_delivery_partner
2025-03-09,10555.22,3172.513,7453.855,14801.251999999999,True,steady_delivery_partner
2025-03-16,4461.19,3172.513,7896.785,14801.251999999999,True,steady_delivery_partner
2025-03-23,5843.6,4205.626,7896.785,14801.251999999999,True,steady_delivery_partner
2025-03-30,3559.12,4205.626,5817.155000000001,12020.81,True,steady_delivery_partner
2025-04-06,8482.79,3594.253,5315.24,12020.81,True,steady_delivery_partner
2025-04-13,9219.71,3594.253,7163.195000000001,12020.81,True,steady_delivery_partner
2025-04-20,9903.33,3594.253,7163.195000000001,10168.568,True,steady_delivery_partner
2025-04-27,0.0,4190.5689999999995,8851.25,10168.568,True,steady_delivery_partner
2025-05-04,2738.94,2491.384,7163.195000000001,10098.896999999999,True,steady_delivery_partner
2025-05-11,8414.41,1917.2580000000003,5152.395,9424.795999999998,True,steady_delivery_partner
2025-05-18,11476.89,1917.2580000000003,7129.005,9424.795999999998,True,steady_delivery_partner
2025-05-25,2748.94,1917.2580000000003,8448.6,10375.398,True,steady_delivery_partner
2025-06-01,9596.380000000001,1917.2580000000003,8448.6,10375.398,True,steady_delivery_partner
2025-06-08,14994.220000000001,1917.2580000000003,8817.06,10375.398,True,steady_delivery_partner
2025-06-15,2876.47,1917.2580000000003,9005.395,12532.089,True,steady_delivery_partner
2025-06-22,1514.79,1917.2580000000003,5645.44,12532.089,True,steady_delivery_partner
2025-06-29,9554.75,2371.695,5645.44,12532.089,True,steady_delivery_partner
2025-07-06,3992.58,2378.695,8984.58,12532.089,True,steady_delivery_partner
